user_id,product_id,interaction_type,interaction_score,product_category,product_description,review_text,semantic_vector,latent_user_feature,latent_item_feature,target_recommendation_score
U167,P049,view,0.174,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.358, 0.757, 0.227, 0.775, 0.592]",0.151,0.494,0.406
U178,P075,add_to_cart,0.543,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.719, 0.568, 0.311, 0.728, 0.063]",0.707,0.486,0.878
U032,P056,review,0.882,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.637, 0.935, 0.937, 0.586, 0.629]",-0.874,0.653,0.843
U151,P048,purchase,0.721,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.735, 0.451, 0.25, 0.457, 0.343]",-0.554,0.547,0.684
U193,P034,add_to_cart,0.518,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.633, 0.49, 0.297, 0.138, 0.312]",0.36,0.939,0.928
U048,P088,view,0.397,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.796, 0.748, 0.391, 0.835, 0.735]",0.79,-0.103,0.636
U189,P044,review,0.306,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.837, 0.123, 0.49, 0.579, 0.582]",0.996,-0.716,0.385
U163,P035,review,0.842,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.044, 0.343, 0.624, 0.732, 0.993]",0.522,-0.186,0.906
U023,P014,purchase,0.962,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.615, 0.028, 0.651, 0.468, 0.99]",-0.276,0.06,0.898
U142,P049,purchase,0.769,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.443, 0.844, 0.691, 0.315, 0.03]",-0.043,0.362,0.895
U113,P099,purchase,0.942,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.541, 0.429, 0.346, 0.858, 0.255]",-0.832,0.411,0.853
U147,P097,view,0.191,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.092, 0.567, 0.327, 0.903, 0.673]",0.1,-0.225,0.141
U075,P051,review,0.455,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.4, 0.369, 0.634, 0.404, 0.641]",0.708,-0.834,0.454
U089,P060,purchase,0.769,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.706, 0.801, 0.895, 0.129, 0.87]",-0.386,0.229,0.741
U176,P077,review,0.425,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.393, 0.346, 0.75, 0.591, 0.032]",-0.169,0.268,0.475
U046,P065,view,0.341,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.986, 0.827, 0.261, 0.829, 0.973]",0.245,-0.203,0.394
U098,P088,review,0.333,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.33, 0.533, 0.199, 0.195, 0.873]",-0.317,0.942,0.506
U180,P054,purchase,0.777,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.208, 0.008, 0.773, 0.763, 0.22]",0.412,-0.658,0.658
U066,P063,purchase,0.824,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.74, 0.361, 0.074, 0.035, 0.874]",-0.662,0.288,0.759
U053,P077,review,0.338,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.91, 0.118, 0.445, 0.67, 0.345]",0.728,0.926,0.813
U176,P028,review,0.413,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.54, 0.085, 0.461, 0.565, 0.359]",-0.633,0.228,0.244
U199,P016,view,0.389,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.549, 0.433, 0.897, 0.974, 0.384]",0.54,0.026,0.536
U063,P054,view,0.236,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.564, 0.585, 0.356, 0.529, 0.545]",0.523,0.394,0.51
U027,P085,add_to_cart,0.465,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.454, 0.176, 0.386, 0.406, 0.473]",-0.592,-0.975,0.027
U124,P092,purchase,0.796,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.156, 0.47, 0.726, 0.603, 0.865]",-0.452,0.007,0.703
U168,P069,view,0.257,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.588, 0.434, 0.106, 0.983, 0.103]",-0.696,-0.632,-0.104
U092,P068,review,0.876,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.449, 0.872, 0.575, 0.155, 0.091]",-0.027,-0.499,0.745
U052,P004,view,0.343,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.121, 0.748, 0.535, 0.103, 0.535]",-0.536,0.663,0.369
U168,P017,purchase,0.883,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.142, 0.393, 0.699, 0.442, 0.322]",-0.609,-0.564,0.557
U101,P094,add_to_cart,0.451,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.689, 0.594, 0.466, 0.191, 0.163]",0.166,0.713,0.725
U066,P090,review,0.773,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.592, 0.762, 0.16, 0.417, 0.627]",-0.187,0.884,0.969
U026,P087,add_to_cart,0.661,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.476, 0.969, 0.765, 0.97, 0.859]",-0.241,-0.851,0.367
U082,P004,view,0.271,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.123, 0.721, 0.771, 0.438, 0.419]",-0.343,0.958,0.414
U158,P054,view,0.229,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.954, 0.288, 0.714, 0.175, 0.469]",0.178,-0.813,0.024
U181,P055,add_to_cart,0.665,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.207, 0.884, 0.455, 0.97, 0.965]",-0.771,-0.082,0.438
U079,P080,add_to_cart,0.683,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.898, 0.274, 0.806, 0.6, 0.758]",-0.969,0.584,0.527
U107,P005,add_to_cart,0.636,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.927, 0.929, 0.483, 0.364, 0.071]",-0.247,-0.855,0.321
U155,P017,review,0.795,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.317, 0.977, 0.934, 0.977, 0.8]",0.137,-0.186,0.813
U123,P009,purchase,0.778,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.787, 0.542, 0.195, 0.366, 0.488]",0.582,-0.697,0.759
U182,P008,add_to_cart,0.647,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.686, 0.423, 0.876, 0.17, 0.05]",-0.18,-0.89,0.36
U087,P026,view,0.1,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.514, 0.971, 0.075, 0.539, 0.455]",0.558,0.049,0.327
U145,P039,view,0.207,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.398, 0.038, 0.999, 0.518, 0.534]",-0.338,0.034,0.101
U086,P092,view,0.349,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.051, 0.388, 0.969, 0.117, 0.162]",-0.562,-0.591,0.013
U109,P050,view,0.179,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.303, 0.176, 0.221, 0.082, 0.792]",-0.956,-0.809,-0.37
U158,P055,view,0.398,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.55, 0.474, 0.741, 0.241, 0.559]",0.893,-0.345,0.612
U151,P090,view,0.293,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.812, 0.612, 0.231, 0.922, 0.99]",0.803,-0.429,0.393
U126,P099,view,0.104,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.605, 0.453, 0.819, 0.706, 0.485]",-0.833,-0.145,-0.229
U167,P086,add_to_cart,0.584,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.891, 0.008, 0.787, 0.092, 0.364]",-0.21,0.989,0.794
U117,P054,review,0.672,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.175, 0.283, 0.994, 0.682, 0.286]",0.404,-0.843,0.513
U098,P071,review,0.894,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.276, 0.044, 0.076, 0.795, 0.837]",0.574,0.061,1.095
U173,P015,add_to_cart,0.503,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.045, 0.392, 0.209, 0.421, 0.053]",-0.178,-0.08,0.407
U077,P019,review,0.716,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.864, 0.365, 0.785, 0.979, 0.91]",0.383,1.0,1.104
U176,P078,review,0.832,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.209, 0.185, 0.595, 0.859, 0.468]",0.188,-0.204,0.869
U150,P047,review,0.585,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.537, 0.114, 0.881, 0.356, 0.516]",-0.93,0.908,0.608
U037,P044,review,0.761,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.516, 0.652, 0.453, 0.488, 0.624]",0.945,-0.738,0.783
U070,P078,view,0.187,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.255, 0.361, 0.216, 0.201, 0.628]",0.899,0.192,0.48
U188,P062,view,0.211,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.82, 0.062, 0.561, 0.497, 0.967]",-0.612,0.173,0.097
U130,P078,add_to_cart,0.573,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.066, 0.848, 0.236, 0.715, 0.577]",0.089,-0.918,0.366
U104,P035,review,0.763,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.893, 0.227, 0.523, 0.847, 0.537]",-0.059,-0.126,0.741
U067,P036,add_to_cart,0.405,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.904, 0.622, 0.136, 0.957, 0.038]",0.918,0.51,0.846
U089,P075,add_to_cart,0.504,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.727, 0.034, 0.068, 0.117, 0.227]",-0.109,0.241,0.581
U193,P032,purchase,0.844,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.609, 0.057, 0.381, 0.216, 0.5]",0.832,-0.274,0.975
U122,P060,view,0.257,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.73, 0.325, 0.11, 0.038, 0.447]",0.936,-0.825,0.26
U045,P039,review,0.439,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.208, 0.957, 0.906, 0.796, 0.807]",-0.935,0.949,0.405
U017,P015,review,0.798,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.039, 0.603, 0.067, 0.538, 0.447]",-0.877,0.93,0.812
U059,P007,add_to_cart,0.6,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.306, 0.604, 0.083, 0.193, 0.242]",-0.357,0.736,0.712
U002,P090,review,0.528,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.047, 0.829, 0.948, 0.46, 0.597]",-0.19,0.225,0.563
U169,P062,view,0.26,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.907, 0.802, 0.048, 0.345, 0.999]",-0.846,0.052,0.064
U017,P059,purchase,0.903,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.694, 0.158, 0.327, 0.788, 0.09]",0.523,-0.823,0.826
U104,P035,add_to_cart,0.569,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.337, 0.895, 0.756, 0.307, 0.269]",0.757,0.93,1.094
U086,P026,add_to_cart,0.505,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.563, 0.186, 0.41, 0.215, 0.363]",0.286,-0.496,0.409
U090,P030,add_to_cart,0.4,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.862, 0.983, 0.529, 0.1, 0.334]",-0.607,-0.015,0.242
U027,P053,add_to_cart,0.625,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.647, 0.674, 0.519, 0.02, 0.015]",-0.491,-0.737,0.21
U147,P077,review,0.885,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.224, 0.831, 0.353, 0.699, 0.203]",0.327,-0.998,0.664
U131,P079,review,0.806,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.942, 0.264, 0.109, 0.159, 0.087]",-0.529,-0.614,0.439
U140,P037,view,0.325,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.478, 0.031, 0.067, 0.366, 0.964]",-0.784,-0.675,-0.082
U011,P027,purchase,0.779,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.701, 0.088, 0.278, 0.963, 0.831]",-0.275,-0.75,0.518
U111,P067,view,0.31,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.569, 0.227, 0.853, 0.403, 0.49]",-0.655,-0.36,0.044
U172,P064,purchase,0.89,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.766, 0.11, 0.569, 0.738, 0.233]",0.412,-0.168,0.921
U029,P005,purchase,0.87,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.817, 0.576, 0.379, 0.566, 0.12]",-0.797,0.498,0.771
U113,P072,purchase,0.898,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.721, 0.924, 0.565, 0.302, 0.343]",0.604,0.964,1.385
U151,P057,add_to_cart,0.583,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.321, 0.104, 0.494, 0.729, 0.031]",0.335,0.523,0.816
U071,P053,add_to_cart,0.632,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.729, 0.451, 0.513, 0.473, 0.879]",-0.958,0.809,0.591
U094,P035,add_to_cart,0.553,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.099, 0.765, 0.831, 0.394, 0.041]",0.291,0.734,0.87
U143,P076,view,0.201,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.092, 0.673, 0.335, 0.523, 0.958]",-0.154,0.45,0.255
U064,P073,purchase,0.823,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.373, 0.936, 0.1, 0.954, 0.756]",0.298,-0.962,0.575
U183,P078,view,0.365,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.505, 0.639, 0.802, 0.34, 0.156]",-0.233,0.485,0.449
U098,P025,add_to_cart,0.579,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.926, 0.228, 0.928, 0.681, 0.098]",-0.419,0.83,0.671
U037,P045,add_to_cart,0.617,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.836, 0.751, 0.638, 0.622, 0.156]",0.405,0.733,0.949
U173,P048,add_to_cart,0.441,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.365, 0.93, 0.622, 0.071, 0.346]",0.977,0.611,0.915
U073,P088,view,0.217,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.64, 0.085, 0.81, 0.923, 0.346]",-0.028,-0.898,-0.093
U013,P066,view,0.153,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.604, 0.475, 0.563, 0.811, 0.987]",-0.532,-0.673,-0.258
U032,P075,purchase,0.713,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.153, 0.146, 0.084, 0.292, 0.687]",1.0,-0.996,0.726
U020,P060,purchase,0.961,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.269, 0.967, 0.378, 0.98, 0.375]",0.698,-0.073,1.183
U104,P028,purchase,0.783,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.931, 0.004, 0.519, 0.725, 0.871]",-0.504,0.621,0.771
U106,P045,add_to_cart,0.409,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.425, 0.213, 0.799, 0.324, 0.271]",-0.229,0.467,0.443
U071,P005,add_to_cart,0.522,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.887, 0.598, 0.7, 0.045, 0.116]",0.324,-0.072,0.645
U040,P024,review,0.608,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.617, 0.975, 0.612, 0.525, 0.976]",-0.926,-0.646,0.175
U089,P047,purchase,0.837,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.778, 0.151, 0.075, 0.237, 0.616]",-0.876,0.764,0.815
U001,P097,purchase,0.868,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.466, 0.908, 0.162, 0.647, 0.516]",-0.313,-0.962,0.473
U010,P076,review,0.671,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.12, 0.832, 0.735, 0.145, 0.554]",0.479,-0.116,0.769
U053,P087,review,0.734,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.09, 0.314, 0.668, 0.889, 0.294]",-0.91,0.184,0.562
U111,P061,purchase,0.891,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.214, 0.57, 0.033, 0.658, 0.133]",0.993,-0.122,1.103
U149,P071,view,0.239,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.899, 0.466, 0.629, 0.332, 0.68]",-0.069,0.101,0.223
U079,P003,add_to_cart,0.561,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.161, 0.574, 0.68, 0.465, 0.257]",0.27,0.031,0.637
U011,P048,add_to_cart,0.6,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.043, 0.237, 0.788, 0.625, 0.956]",-0.048,-0.17,0.53
U012,P022,add_to_cart,0.692,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.714, 0.602, 0.13, 0.72, 0.998]",0.767,0.201,0.994
U130,P087,review,0.551,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.86, 0.415, 0.434, 0.683, 0.484]",0.705,-0.06,0.722
U061,P085,purchase,0.874,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.995, 0.794, 0.84, 0.527, 0.017]",-0.787,0.399,0.788
U049,P015,add_to_cart,0.667,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.209, 0.725, 0.557, 0.142, 0.23]",0.134,0.195,0.735
U183,P072,purchase,0.84,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.028, 0.509, 0.932, 0.241, 0.371]",0.148,-0.751,0.674
U100,P064,add_to_cart,0.597,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.161, 0.759, 0.87, 0.974, 0.579]",-0.586,0.147,0.51
U197,P071,review,0.78,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.509, 0.239, 0.243, 0.827, 0.021]",0.41,0.332,0.987
U129,P066,review,0.502,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.95, 0.942, 0.851, 0.135, 0.699]",-0.982,0.508,0.334
U150,P003,review,0.517,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.348, 0.493, 0.154, 0.146, 0.75]",0.866,-0.76,0.504
U067,P083,view,0.208,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.246, 0.671, 0.785, 0.3, 0.665]",-0.344,-0.498,0.004
U071,P055,purchase,0.92,Books,Engaging book with insightful knowledge and storytelling.,This product is excellent and exceeded expectations.,"[0.725, 0.126, 0.541, 0.531, 0.949]",0.624,0.394,1.234
U049,P089,add_to_cart,0.522,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.813, 0.144, 0.801, 0.049, 0.432]",0.476,-0.659,0.46
U196,P029,review,0.497,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.748, 0.97, 0.771, 0.384, 0.377]",0.054,0.482,0.695
U010,P048,purchase,0.741,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.719, 0.631, 0.524, 0.207, 0.313]",0.943,-0.937,0.728
U108,P049,view,0.178,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.493, 0.143, 0.031, 0.762, 0.935]",-0.216,-0.497,-0.016
U052,P021,view,0.348,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.382, 0.634, 0.787, 0.524, 0.115]",-0.487,-0.019,0.206
U191,P076,view,0.143,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.329, 0.627, 0.674, 0.922, 0.324]",-0.32,0.693,0.21
U051,P034,purchase,0.905,Fashion,Trendy and stylish fashion apparel for daily wear.,This product is excellent and exceeded expectations.,"[0.763, 0.814, 0.251, 0.332, 0.567]",0.751,0.999,1.469
U065,P053,add_to_cart,0.465,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.305, 0.545, 0.601, 0.542, 0.84]",0.098,0.092,0.563
U115,P042,add_to_cart,0.492,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.877, 0.047, 0.307, 0.883, 0.83]",-0.714,-0.413,0.183
U142,P005,review,0.355,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.279, 0.863, 0.864, 0.665, 0.72]",0.798,0.86,0.873
U041,P004,add_to_cart,0.443,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.86, 0.926, 0.025, 0.776, 0.475]",-0.346,-0.658,0.144
U145,P044,view,0.239,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.402, 0.775, 0.515, 0.399, 0.051]",-0.932,-0.676,-0.252
U071,P007,add_to_cart,0.517,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.094, 0.847, 0.69, 0.929, 0.719]",-0.309,-0.415,0.269
U181,P076,purchase,0.736,Electronics,Latest high-performance electronic device with smart features.,This product is excellent and exceeded expectations.,"[0.596, 0.0, 0.812, 0.804, 0.654]",-0.641,0.079,0.564
U049,P041,review,0.357,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.217, 0.259, 0.563, 0.855, 0.561]",0.625,0.028,0.533
U098,P048,view,0.163,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.531, 0.887, 0.928, 0.533, 0.593]",0.605,-0.653,0.184
U039,P053,add_to_cart,0.602,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.899, 0.284, 0.832, 0.702, 0.281]",0.573,-0.223,0.668
U010,P014,review,0.338,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.707, 0.592, 0.623, 0.369, 0.052]",0.052,0.727,0.597
U052,P029,add_to_cart,0.595,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.778, 0.935, 0.385, 0.672, 0.805]",-0.794,-0.601,0.222
U047,P067,review,0.508,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.817, 0.699, 0.497, 0.436, 0.986]",0.925,0.036,0.771
U114,P039,view,0.352,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.69, 0.567, 0.541, 0.495, 0.993]",0.132,-0.858,0.11
U034,P046,view,0.138,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.763, 0.079, 0.047, 0.237, 0.088]",0.637,0.54,0.456
U144,P023,review,0.569,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.078, 0.734, 0.119, 0.543, 0.539]",-0.445,-0.164,0.376
U180,P089,purchase,0.717,Beauty,Premium beauty product enhancing personal care.,This product is excellent and exceeded expectations.,"[0.666, 0.124, 0.63, 0.701, 0.505]",-0.327,-0.958,0.361
U095,P079,view,0.25,Electronics,Latest high-performance electronic device with smart features.,Decent quality but could be improved.,"[0.737, 0.764, 0.176, 0.804, 0.858]",0.621,-0.9,0.13
U113,P055,add_to_cart,0.408,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.908, 0.246, 0.17, 0.474, 0.53]",0.381,0.932,0.785
U083,P076,view,0.159,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.356, 0.894, 0.534, 0.686, 0.674]",0.589,0.297,0.399
U181,P072,view,0.237,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.711, 0.604, 0.554, 0.436, 0.487]",-0.466,-0.927,-0.196
U125,P032,review,0.568,Sports,High-quality sports equipment for professionals and beginners.,Decent quality but could be improved.,"[0.653, 0.332, 0.688, 0.958, 0.262]",-0.724,0.345,0.414
U022,P022,view,0.156,Home,Durable and modern home essentials designed for comfort.,Decent quality but could be improved.,"[0.003, 0.182, 0.555, 0.692, 0.983]",-0.316,-0.805,-0.143
U007,P013,add_to_cart,0.621,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.562, 0.15, 0.017, 0.941, 0.464]",0.487,-0.621,0.623
U181,P028,add_to_cart,0.6,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.231, 0.155, 0.935, 0.716, 0.101]",-0.282,-0.819,0.294
U160,P058,review,0.443,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.331, 0.646, 0.599, 0.591, 0.501]",0.194,-0.231,0.446
U121,P097,purchase,0.815,Sports,High-quality sports equipment for professionals and beginners.,This product is excellent and exceeded expectations.,"[0.452, 0.083, 0.062, 0.511, 0.313]",0.082,-0.93,0.604
U145,P085,view,0.193,Books,Engaging book with insightful knowledge and storytelling.,Decent quality but could be improved.,"[0.125, 0.441, 0.8, 0.779, 0.933]",0.431,0.0,0.285
U097,P058,add_to_cart,0.633,Fashion,Trendy and stylish fashion apparel for daily wear.,Decent quality but could be improved.,"[0.341, 0.333, 0.372, 0.802, 0.078]",0.161,0.743,0.9
U137,P023,add_to_cart,0.495,Beauty,Premium beauty product enhancing personal care.,Decent quality but could be improved.,"[0.105, 0.842, 0.763, 0.862, 0.796]",0.135,-0.8,0.273
U036,P089,purchase,0.865,Home,Durable and modern home essentials designed for comfort.,This product is excellent and exceeded expectations.,"[0.249, 0.03, 0.516, 0.621, 0.902]",0.466,0.867,1.274
